品类,月份,库存量
category180,2022-09-01,2151
category180,2023-01-01,3104
category180,2023-02-01,3291
category180,2023-03-01,1860
category180,2023-04-01,664
category180,2023-05-01,976
category180,2023-06-01,2169
category180,2023-07-01,4907
category180,2023-08-01,2965
category180,2023-09-01,2132
category181,2022-07-01,241
category181,2022-08-01,274
category181,2022-09-01,355
category181,2023-01-01,651
category181,2023-02-01,635
category181,2023-03-01,593
category181,2023-04-01,548
category181,2023-05-01,405
category181,2023-06-01,825
category181,2023-07-01,329
category181,2023-08-01,353
category181,2023-09-01,414
category182,2022-07-01,9706
category182,2022-08-01,39984
category182,2022-09-01,195249
category182,2023-01-01,15782
category182,2023-02-01,7851
category182,2023-03-01,2308
category182,2023-04-01,2170
category182,2023-05-01,2127
category182,2023-06-01,2067
category182,2023-07-01,6788
category182,2023-08-01,28100
category182,2023-09-01,137619
category183,2022-07-01,175529
category183,2022-08-01,188343
category183,2022-09-01,170529
category183,2023-01-01,42798
category183,2023-02-01,37403
category183,2023-03-01,67801
category183,2023-04-01,135161
category183,2023-05-01,158934
category183,2023-06-01,309461
category183,2023-07-01,175529
category183,2023-08-01,188343
category183,2023-09-01,170529
category184,2022-07-01,71708
category184,2022-08-01,55320
category184,2022-09-01,53549
category184,2023-01-01,62291
category184,2023-02-01,42861
category184,2023-03-01,61536
category184,2023-04-01,61553
category184,2023-05-01,55222
category184,2023-06-01,69376
category184,2023-07-01,70246
category184,2023-08-01,67302
category184,2023-09-01,68678
category185,2022-07-01,194789
category185,2022-08-01,157130
category185,2022-09-01,119883
category185,2023-01-01,183874
category185,2023-02-01,200039
category185,2023-03-01,161280
category185,2023-04-01,151839
category185,2023-05-01,162830
category185,2023-06-01,296732
category185,2023-07-01,210094
category185,2023-08-01,194779
category185,2023-09-01,179364
category186,2022-07-01,5313
category186,2022-08-01,4895
category186,2022-09-01,5643
category186,2023-01-01,163045
category186,2023-02-01,129379
category186,2023-03-01,143669
category186,2023-04-01,156782
category186,2023-05-01,186348
category186,2023-06-01,280435
category186,2023-07-01,5313
category186,2023-08-01,4895
category186,2023-09-01,5643
category187,2022-07-01,58
category187,2022-08-01,740
category187,2022-09-01,3519
category187,2023-01-01,95
category187,2023-02-01,59
category187,2023-03-01,558
category187,2023-04-01,71
category187,2023-05-01,65
category187,2023-06-01,44
category187,2023-07-01,55
category187,2023-08-01,423
category187,2023-09-01,1928
category188,2022-07-01,4631
category188,2022-08-01,83565
category188,2022-09-01,138858
category188,2023-01-01,174329
category188,2023-02-01,122964
category188,2023-03-01,156513
category188,2023-04-01,156009
category188,2023-05-01,183065
category188,2023-06-01,262725
category188,2023-07-01,4631
category188,2023-08-01,83565
category188,2023-09-01,138858
category189,2022-07-01,7176
category189,2022-08-01,7000
category189,2022-09-01,6542
category189,2023-01-01,14992
category189,2023-02-01,13244
category189,2023-03-01,5843
category189,2023-04-01,11889
category189,2023-05-01,11130
category189,2023-06-01,16360
category189,2023-07-01,8854
category189,2023-08-01,8632
category189,2023-09-01,8325
category19,2022-07-01,10984
category19,2022-08-01,2861
category19,2022-09-01,4311
category19,2023-01-01,5193
category19,2023-02-01,3171
category19,2023-03-01,5586
category19,2023-04-01,5715
category19,2023-05-01,5134
category19,2023-06-01,4725
category19,2023-07-01,7389
category19,2023-08-01,3955
category19,2023-09-01,4515
category190,2022-07-01,169778
category190,2022-08-01,114373
category190,2022-09-01,82010
category190,2023-01-01,119339
category190,2023-02-01,92567
category190,2023-03-01,93486
category190,2023-04-01,108283
category190,2023-05-01,97607
category190,2023-06-01,118111
category190,2023-07-01,136471
category190,2023-08-01,120509
category190,2023-09-01,112053
category191,2022-07-01,176613
category191,2022-08-01,137524
category191,2022-09-01,127152
category191,2023-01-01,152640
category191,2023-02-01,162505
category191,2023-03-01,141826
category191,2023-04-01,141320
category191,2023-05-01,150519
category191,2023-06-01,178510
category191,2023-07-01,178210
category191,2023-08-01,167043
category191,2023-09-01,164998
category192,2022-07-01,10
category192,2022-08-01,56937
category192,2022-09-01,71164
category192,2023-01-01,523527
category192,2023-02-01,187028
category192,2023-03-01,78899
category192,2023-04-01,59625
category192,2023-05-01,71224
category192,2023-06-01,89782
category192,2023-07-01,10
category192,2023-08-01,56937
category192,2023-09-01,71164
category193,2022-07-01,187
category193,2022-08-01,196
category193,2022-09-01,231
category193,2023-01-01,304
category193,2023-02-01,323
category193,2023-03-01,284
category193,2023-04-01,257
category193,2023-05-01,347
category193,2023-06-01,319
category193,2023-07-01,255
category193,2023-08-01,261
category193,2023-09-01,279
category194,2022-07-01,38363
category194,2022-08-01,33464
category194,2022-09-01,23455
category194,2023-01-01,16761
category194,2023-02-01,13899
category194,2023-03-01,18244
category194,2023-04-01,17339
category194,2023-05-01,34394
category194,2023-06-01,76216
category194,2023-07-01,38363
category194,2023-08-01,33464
category194,2023-09-01,23455
category195,2022-07-01,245796
category195,2022-08-01,170087
category195,2022-09-01,153263
category195,2023-01-01,225988
category195,2023-02-01,189946
category195,2023-03-01,194885
category195,2023-04-01,175216
category195,2023-05-01,174830
category195,2023-06-01,309631
category195,2023-07-01,262124
category195,2023-08-01,232154
category195,2023-09-01,234277
category196,2022-07-01,136862
category196,2022-08-01,99864
category196,2022-09-01,78094
category196,2023-01-01,88807
category196,2023-02-01,81906
category196,2023-03-01,91061
category196,2023-04-01,104614
category196,2023-05-01,137922
category196,2023-06-01,191849
category196,2023-07-01,136862
category196,2023-08-01,99864
category196,2023-09-01,78094
category197,2022-07-01,584434
category197,2022-08-01,531919
category197,2022-09-01,471573
category197,2023-01-01,657185
category197,2023-02-01,717202
category197,2023-03-01,628336
category197,2023-04-01,656664
category197,2023-05-01,718364
category197,2023-06-01,828850
category197,2023-07-01,707993
category197,2023-08-01,688272
category197,2023-09-01,663141
category198,2022-07-01,138702
category198,2022-08-01,102001
category198,2022-09-01,104400
category198,2023-01-01,132092
category198,2023-02-01,90790
category198,2023-03-01,63886
category198,2023-04-01,56049
category198,2023-05-01,47663
category198,2023-06-01,76661
category198,2023-07-01,92303
category198,2023-08-01,74407
category198,2023-09-01,75518
category199,2022-07-01,707
category199,2022-08-01,773
category199,2022-09-01,720
category199,2023-01-01,1327
category199,2023-02-01,1206
category199,2023-03-01,1245
category199,2023-04-01,3495
category199,2023-05-01,2629
category199,2023-06-01,3388
category199,2023-07-01,707
category199,2023-08-01,773
category199,2023-09-01,720
category2,2022-07-01,811283
category2,2022-08-01,652796
category2,2022-09-01,564418
category2,2023-01-01,790470
category2,2023-02-01,699126
category2,2023-03-01,650986
category2,2023-04-01,558724
category2,2023-05-01,546004
category2,2023-06-01,1223950
category2,2023-07-01,688119
category2,2023-08-01,661877
category2,2023-09-01,651384
category20,2022-07-01,874100
category20,2022-08-01,739007
category20,2022-09-01,637292
category20,2023-01-01,860071
category20,2023-02-01,770605
category20,2023-03-01,638687
category20,2023-04-01,559506
category20,2023-05-01,594010
category20,2023-06-01,998721
category20,2023-07-01,690057
category20,2023-08-01,641400
category20,2023-09-01,604337
category200,2022-07-01,189783
category200,2022-08-01,159664
category200,2022-09-01,160125
category200,2023-01-01,269140
category200,2023-02-01,199926
category200,2023-03-01,179818
category200,2023-04-01,187439
category200,2023-05-01,160603
category200,2023-06-01,200514
category200,2023-07-01,188439
category200,2023-08-01,185578
category200,2023-09-01,190242
category201,2022-07-01,7994
category201,2022-08-01,6732
category201,2022-09-01,6808
category201,2023-01-01,8843
category201,2023-02-01,7900
category201,2023-03-01,8897
category201,2023-04-01,6902
category201,2023-05-01,5337
category201,2023-06-01,8211
category201,2023-07-01,6938
category201,2023-08-01,6575
category201,2023-09-01,6547
category202,2022-07-01,2483
category202,2022-08-01,1399
category202,2022-09-01,928
category202,2023-01-01,5527
category202,2023-02-01,8364
category202,2023-03-01,8565
category202,2023-04-01,8176
category202,2023-05-01,6846
category202,2023-06-01,25646
category202,2023-07-01,2483
category202,2023-08-01,1399
category202,2023-09-01,928
category203,2022-07-01,191911
category203,2022-08-01,151166
category203,2022-09-01,138783
category203,2023-01-01,152318
category203,2023-02-01,126469
category203,2023-03-01,141942
category203,2023-04-01,123625
category203,2023-05-01,131725
category203,2023-06-01,179799
category203,2023-07-01,179236
category203,2023-08-01,175803
category203,2023-09-01,179736
category204,2022-07-01,7128
category204,2022-08-01,5714
category204,2022-09-01,5236
category204,2023-01-01,6019
category204,2023-02-01,12326
category204,2023-03-01,10675
category204,2023-04-01,9244
category204,2023-05-01,12883
category204,2023-06-01,13490
category204,2023-07-01,7797
category204,2023-08-01,6599
category204,2023-09-01,6226
category205,2022-07-01,56729
category205,2022-08-01,91575
category205,2022-09-01,31673
category205,2023-01-01,23754
category205,2023-02-01,23452
category205,2023-03-01,24467
category205,2023-04-01,21323
category205,2023-05-01,18034
category205,2023-06-01,19361
category205,2023-07-01,38424
category205,2023-08-01,56263
category205,2023-09-01,24954
category206,2022-07-01,1403
category206,2022-08-01,1168
category206,2022-09-01,827
category206,2023-01-01,1115
category206,2023-02-01,928
category206,2023-03-01,945
category206,2023-04-01,916
category206,2023-05-01,1059
category206,2023-06-01,1069
category206,2023-07-01,1197
category206,2023-08-01,1156
category206,2023-09-01,1075
category207,2022-07-01,106
category207,2022-08-01,22
category207,2022-09-01,8
category207,2023-01-01,208
category207,2023-02-01,116
category207,2023-03-01,598
category207,2023-04-01,1648
category207,2023-05-01,1310
category207,2023-06-01,4344
category207,2023-07-01,106
category207,2023-08-01,22
category207,2023-09-01,8
category208,2022-07-01,56869
category208,2022-08-01,53135
category208,2022-09-01,49346
category208,2023-01-01,62390
category208,2023-02-01,50405
category208,2023-03-01,43757
category208,2023-04-01,48201
category208,2023-05-01,77221
category208,2023-06-01,103070
category208,2023-07-01,56869
category208,2023-08-01,53135
category208,2023-09-01,49346
category209,2022-07-01,1864077
category209,2022-08-01,1778521
category209,2022-09-01,1601044
category209,2023-01-01,1326066
category209,2023-02-01,1273423
category209,2023-03-01,1256435
category209,2023-04-01,1406055
category209,2023-05-01,1397745
category209,2023-06-01,1082572
category209,2023-07-01,1437217
category209,2023-08-01,1401618
category209,2023-09-01,1334143
category21,2022-07-01,2379868
category21,2022-08-01,1770288
category21,2022-09-01,1847483
category21,2023-01-01,4411095
category21,2023-02-01,2651531
category21,2023-03-01,2062100
category21,2023-04-01,1625555
category21,2023-05-01,1555956
category21,2023-06-01,2708773
category21,2023-07-01,2246105
category21,2023-08-01,2179618
category21,2023-09-01,2316087
category210,2022-07-01,1
category210,2022-08-01,1
category210,2022-09-01,24
category210,2023-01-01,1
category210,2023-02-01,37
category210,2023-03-01,15
category210,2023-04-01,29
category210,2023-05-01,86
category210,2023-06-01,101
category210,2023-07-01,1
category210,2023-08-01,1
category210,2023-09-01,24
category211,2022-07-01,12883
category211,2022-08-01,10182
category211,2022-09-01,8759
category211,2023-01-01,8726
category211,2023-02-01,8648
category211,2023-03-01,8239
category211,2023-04-01,8331
category211,2023-05-01,7962
category211,2023-06-01,7627
category211,2023-07-01,9374
category211,2023-08-01,8219
category211,2023-09-01,7524
category212,2022-07-01,33
category212,2022-08-01,24
category212,2022-09-01,37
category212,2023-01-01,4346
category212,2023-02-01,4423
category212,2023-03-01,3665
category212,2023-04-01,4385
category212,2023-05-01,4786
category212,2023-06-01,7216
category212,2023-07-01,33
category212,2023-08-01,24
category212,2023-09-01,37
category213,2022-07-01,9
category213,2022-08-01,182
category213,2022-09-01,160
category213,2023-01-01,240
category213,2023-02-01,407
category213,2023-03-01,388
category213,2023-04-01,522
category213,2023-05-01,303
category213,2023-06-01,331
category213,2023-07-01,9
category213,2023-08-01,182
category213,2023-09-01,160
category214,2022-07-01,15322
category214,2022-08-01,14961
category214,2022-09-01,14491
category214,2023-01-01,16728
category214,2023-02-01,14868
category214,2023-03-01,14339
category214,2023-04-01,15306
category214,2023-05-01,13924
category214,2023-06-01,14405
category214,2023-07-01,14395
category214,2023-08-01,14327
category214,2023-09-01,14232
category215,2022-07-01,26232
category215,2022-08-01,26837
category215,2022-09-01,22787
category215,2023-01-01,27181
category215,2023-02-01,21597
category215,2023-03-01,23443
category215,2023-04-01,25582
category215,2023-05-01,29379
category215,2023-06-01,38129
category215,2023-07-01,31692
category215,2023-08-01,34054
category215,2023-09-01,33095
category216,2022-07-01,67
category216,2022-08-01,61
category216,2022-09-01,63
category216,2023-01-01,144
category216,2023-02-01,109
category216,2023-03-01,67
category216,2023-04-01,78
category216,2023-05-01,71
category216,2023-06-01,155
category216,2023-07-01,67
category216,2023-08-01,61
category216,2023-09-01,63
category217,2022-07-01,1854
category217,2022-08-01,1629
category217,2022-09-01,1416
category217,2023-01-01,3405
category217,2023-02-01,3697
category217,2023-03-01,3945
category217,2023-04-01,4563
category217,2023-05-01,5421
category217,2023-06-01,8205
category217,2023-07-01,1854
category217,2023-08-01,1629
category217,2023-09-01,1416
category218,2022-07-01,7760
category218,2022-08-01,7061
category218,2022-09-01,5978
category218,2023-01-01,7510
category218,2023-02-01,8090
category218,2023-03-01,7171
category218,2023-04-01,6893
category218,2023-05-01,7874
category218,2023-06-01,8139
category218,2023-07-01,8085
category218,2023-08-01,7934
category218,2023-09-01,7651
category219,2022-07-01,190
category219,2022-08-01,178
category219,2022-09-01,180
category219,2023-01-01,161
category219,2023-02-01,155
category219,2023-03-01,160
category219,2023-04-01,155
category219,2023-05-01,148
category219,2023-06-01,121
category219,2023-07-01,144
category219,2023-08-01,127
category219,2023-09-01,116
category22,2022-07-01,11318
category22,2022-08-01,10715
category22,2022-09-01,10033
category22,2023-01-01,10401
category22,2023-02-01,10175
category22,2023-03-01,9293
category22,2023-04-01,10092
category22,2023-05-01,9400
category22,2023-06-01,10837
category22,2023-07-01,10132
category22,2023-08-01,9960
category22,2023-09-01,9774
category220,2022-07-01,1630
category220,2022-08-01,2045
category220,2022-09-01,2040
category220,2023-01-01,1886
category220,2023-02-01,1776
category220,2023-03-01,1485
category220,2023-04-01,1434
category220,2023-05-01,1284
category220,2023-06-01,1849
category220,2023-07-01,1549
category220,2023-08-01,1661
category220,2023-09-01,1649
category221,2022-07-01,171
category221,2022-08-01,198
category221,2022-09-01,124
category221,2023-01-01,195
category221,2023-02-01,153
category221,2023-03-01,304
category221,2023-04-01,862
category221,2023-05-01,1130
category221,2023-06-01,1246
category221,2023-07-01,171
category221,2023-08-01,198
category221,2023-09-01,124
category222,2022-07-01,6300
category222,2022-08-01,5793
category222,2022-09-01,5757
category222,2023-01-01,6571
category222,2023-02-01,5001
category222,2023-03-01,5852
category222,2023-04-01,6025
category222,2023-05-01,5730
category222,2023-06-01,9421
category222,2023-07-01,7540
category222,2023-08-01,7751
category222,2023-09-01,8124
category223,2022-07-01,233842
category223,2022-08-01,212538
category223,2022-09-01,173045
category223,2023-01-01,163511
category223,2023-02-01,160354
category223,2023-03-01,176022
category223,2023-04-01,140114
category223,2023-05-01,167725
category223,2023-06-01,298804
category223,2023-07-01,261494
category223,2023-08-01,258270
category223,2023-09-01,237607
category224,2022-07-01,5716
category224,2022-08-01,5877
category224,2022-09-01,4881
category224,2023-01-01,6054
category224,2023-02-01,5586
category224,2023-03-01,7310
category224,2023-04-01,7104
category224,2023-05-01,5433
category224,2023-06-01,5815
category224,2023-07-01,5783
category224,2023-08-01,5776
category224,2023-09-01,5506
category225,2022-07-01,3095300
category225,2022-08-01,2799741
category225,2022-09-01,2448966
category225,2023-01-01,2966388
category225,2023-02-01,2890619
category225,2023-03-01,3133157
category225,2023-04-01,2770633
category225,2023-05-01,2723946
category225,2023-06-01,4676058
category225,2023-07-01,3112101
category225,2023-08-01,3097440
category225,2023-09-01,3053313
category226,2022-07-01,76128
category226,2022-08-01,65736
category226,2022-09-01,61026
category226,2023-01-01,77611
category226,2023-02-01,70649
category226,2023-03-01,83949
category226,2023-04-01,228473
category226,2023-05-01,247267
category226,2023-06-01,324197
category226,2023-07-01,76128
category226,2023-08-01,65736
category226,2023-09-01,61026
category227,2022-07-01,15050
category227,2022-08-01,16173
category227,2022-09-01,12812
category227,2023-01-01,25330
category227,2023-02-01,15965
category227,2023-03-01,15542
category227,2023-04-01,15054
category227,2023-05-01,17816
category227,2023-06-01,17984
category227,2023-07-01,17297
category227,2023-08-01,18427
category227,2023-09-01,17710
category228,2022-07-01,19534
category228,2022-08-01,14152
category228,2022-09-01,14966
category228,2023-01-01,21831
category228,2023-02-01,14446
category228,2023-03-01,24022
category228,2023-04-01,23066
category228,2023-05-01,20073
category228,2023-06-01,29342
category228,2023-07-01,22520
category228,2023-08-01,19590
category228,2023-09-01,20726
category229,2022-07-01,4652
category229,2022-08-01,10959
category229,2022-09-01,11805
category229,2023-01-01,22528
category229,2023-02-01,23032
category229,2023-03-01,28763
category229,2023-04-01,33101
category229,2023-05-01,25861
category229,2023-06-01,82186
category229,2023-07-01,4652
category229,2023-08-01,10959
category229,2023-09-01,11805
category23,2022-07-01,2567
category23,2022-08-01,3302
category23,2022-09-01,3238
category23,2023-01-01,3136
category23,2023-02-01,3922
category23,2023-03-01,3855
category23,2023-04-01,3836
category23,2023-05-01,2687
category23,2023-06-01,2662
category23,2023-07-01,2346
category23,2023-08-01,2431
category23,2023-09-01,2255
category230,2022-07-01,4563
category230,2022-08-01,4281
category230,2022-09-01,3328
category230,2023-01-01,3462
category230,2023-02-01,3078
category230,2023-03-01,2739
category230,2023-04-01,2989
category230,2023-05-01,4786
category230,2023-06-01,4261
category230,2023-07-01,4383
category230,2023-08-01,4320
category230,2023-09-01,4079
category231,2022-07-01,4410
category231,2022-08-01,4422
category231,2022-09-01,6490
category231,2023-01-01,8516
category231,2023-02-01,3445
category231,2023-03-01,3488
category231,2023-04-01,3375
category231,2023-05-01,3214
category231,2023-06-01,3810
category231,2023-07-01,3954
category231,2023-08-01,4197
category231,2023-09-01,4990
category232,2022-07-01,73441
category232,2022-08-01,76360
category232,2022-09-01,69558
category232,2023-01-01,82450
category232,2023-02-01,76368
category232,2023-03-01,80966
category232,2023-04-01,92401
category232,2023-05-01,81339
category232,2023-06-01,91354
category232,2023-07-01,85169
category232,2023-08-01,87357
category232,2023-09-01,86040
category233,2022-07-01,39018
category233,2022-08-01,31253
category233,2022-09-01,39760
category233,2023-01-01,59219
category233,2023-02-01,60276
category233,2023-03-01,44011
category233,2023-04-01,38012
category233,2023-05-01,36476
category233,2023-06-01,49797
category233,2023-07-01,45034
category233,2023-08-01,42255
category233,2023-09-01,45524
category234,2022-07-01,1323
category234,2022-08-01,994
category234,2022-09-01,780
category234,2023-01-01,13372
category234,2023-02-01,8767
category234,2023-03-01,6028
category234,2023-04-01,3622
category234,2023-05-01,2532
category234,2023-06-01,10192
category234,2023-07-01,1323
category234,2023-08-01,994
category234,2023-09-01,780
category235,2022-07-01,985
category235,2022-08-01,846
category235,2022-09-01,904
category235,2023-01-01,585
category235,2023-02-01,604
category235,2023-03-01,474
category235,2023-04-01,585
category235,2023-05-01,537
category235,2023-06-01,553
category235,2023-07-01,720
category235,2023-08-01,660
category235,2023-09-01,682
category236,2022-07-01,76953
category236,2022-08-01,74316
category236,2022-09-01,77743
category236,2023-01-01,88647
category236,2023-02-01,78828
category236,2023-03-01,70829
category236,2023-04-01,66572
category236,2023-05-01,63396
category236,2023-06-01,73465
category236,2023-07-01,66658
category236,2023-08-01,65205
category236,2023-09-01,65690
category237,2022-07-01,389432
category237,2022-08-01,358127
category237,2022-09-01,254400
category237,2023-01-01,262182
category237,2023-02-01,263018
category237,2023-03-01,300115
category237,2023-04-01,259190
category237,2023-05-01,290438
category237,2023-06-01,370230
category237,2023-07-01,356003
category237,2023-08-01,364300
category237,2023-09-01,349342
category238,2022-07-01,19683
category238,2022-08-01,14634
category238,2022-09-01,14333
category238,2023-01-01,20443
category238,2023-02-01,16545
category238,2023-03-01,17690
category238,2023-04-01,13915
category238,2023-05-01,13226
category238,2023-06-01,27917
category238,2023-07-01,19928
category238,2023-08-01,19152
category238,2023-09-01,20023
category239,2022-07-01,42907
category239,2022-08-01,29596
category239,2022-09-01,23770
category239,2023-01-01,33308
category239,2023-02-01,30479
category239,2023-03-01,29028
category239,2023-04-01,21264
category239,2023-05-01,24181
category239,2023-06-01,38465
category239,2023-07-01,30740
category239,2023-08-01,26463
category239,2023-09-01,24488
category24,2022-07-01,396
category24,2022-08-01,37513
category24,2022-09-01,72347
category24,2023-01-01,79698
category24,2023-02-01,67693
category24,2023-03-01,79433
category24,2023-04-01,91122
category24,2023-05-01,102778
category24,2023-06-01,173477
category24,2023-07-01,396
category24,2023-08-01,37513
category24,2023-09-01,72347
category240,2022-07-01,160418
category240,2022-08-01,152331
category240,2022-09-01,141368
category240,2023-01-01,140398
category240,2023-02-01,129451
category240,2023-03-01,137956
category240,2023-04-01,164948
category240,2023-05-01,154745
category240,2023-06-01,164765
category240,2023-07-01,167845
category240,2023-08-01,168862
category240,2023-09-01,168417
category241,2022-07-01,53717
category241,2022-08-01,43076
category241,2022-09-01,33690
category241,2023-01-01,78239
category241,2023-02-01,60371
category241,2023-03-01,53479
category241,2023-04-01,50768
category241,2023-05-01,46686
category241,2023-06-01,58737
category241,2023-07-01,50589
category241,2023-08-01,47799
category241,2023-09-01,45281
category242,2022-07-01,175910
category242,2022-08-01,181305
category242,2022-09-01,216790
category242,2023-01-01,336827
category242,2023-02-01,237744
category242,2023-03-01,188340
category242,2023-04-01,176758
category242,2023-05-01,171686
category242,2023-06-01,254362
category242,2023-07-01,217516
category242,2023-08-01,228991
category242,2023-09-01,249809
category243,2022-07-01,454823
category243,2022-08-01,391572
category243,2022-09-01,317793
category243,2023-01-01,460670
category243,2023-02-01,404188
category243,2023-03-01,325284
category243,2023-04-01,305045
category243,2023-05-01,330165
category243,2023-06-01,537836
category243,2023-07-01,511718
category243,2023-08-01,497538
category243,2023-09-01,469498
category244,2022-07-01,519
category244,2022-08-01,505
category244,2022-09-01,489
category244,2023-01-01,420
category244,2023-02-01,403
category244,2023-03-01,389
category244,2023-04-01,373
category244,2023-05-01,337
category244,2023-06-01,330
category244,2023-07-01,397
category244,2023-08-01,383
category244,2023-09-01,368
category245,2022-07-01,331365
category245,2022-08-01,229136
category245,2022-09-01,227127
category245,2023-01-01,418786
category245,2023-02-01,369240
category245,2023-03-01,333912
category245,2023-04-01,288718
category245,2023-05-01,317630
category245,2023-06-01,471092
category245,2023-07-01,336918
category245,2023-08-01,239185
category245,2023-09-01,238850
category246,2022-07-01,6791
category246,2022-08-01,6849
category246,2022-09-01,8151
category246,2023-01-01,8438
category246,2023-02-01,6246
category246,2023-03-01,8393
category246,2023-04-01,7898
category246,2023-05-01,8436
category246,2023-06-01,12076
category246,2023-07-01,8825
category246,2023-08-01,9356
category246,2023-09-01,10547
category247,2022-07-01,127741
category247,2022-08-01,122586
category247,2022-09-01,113367
category247,2023-01-01,117860
category247,2023-02-01,114798
category247,2023-03-01,110102
category247,2023-04-01,125714
category247,2023-05-01,118589
category247,2023-06-01,115852
category247,2023-07-01,119842
category247,2023-08-01,118952
category247,2023-09-01,117085
category248,2022-07-01,116395
category248,2022-08-01,95012
category248,2022-09-01,93614
category248,2023-01-01,85152
category248,2023-02-01,103791
category248,2023-03-01,78255
category248,2023-04-01,77589
category248,2023-05-01,95454
category248,2023-06-01,131476
category248,2023-07-01,126876
category248,2023-08-01,121289
category248,2023-09-01,122844
category249,2022-07-01,35
category249,2022-08-01,36
category249,2022-09-01,36
category249,2023-01-01,34
category249,2023-02-01,34
category249,2023-03-01,34
category249,2023-04-01,34
category249,2023-05-01,35
category249,2023-06-01,33
category249,2023-07-01,34
category249,2023-08-01,34
category249,2023-09-01,34
category25,2022-07-01,13203
category25,2022-08-01,12989
category25,2022-09-01,13064
category25,2023-01-01,13510
category25,2023-02-01,12094
category25,2023-03-01,11921
category25,2023-04-01,12985
category25,2023-05-01,12360
category25,2023-06-01,13088
category25,2023-07-01,13158
category25,2023-08-01,13307
category25,2023-09-01,13479
category250,2022-07-01,168653
category250,2022-08-01,116448
category250,2022-09-01,124691
category250,2023-01-01,160677
category250,2023-02-01,155704
category250,2023-03-01,113202
category250,2023-04-01,105239
category250,2023-05-01,116081
category250,2023-06-01,186386
category250,2023-07-01,142296
category250,2023-08-01,127010
category250,2023-09-01,127673
category251,2022-07-01,12106
category251,2022-08-01,9183
category251,2022-09-01,6179
category251,2023-01-01,3786
category251,2023-02-01,2546
category251,2023-03-01,2637
category251,2023-04-01,973
category251,2023-05-01,614
category251,2023-06-01,1262
category251,2023-07-01,8381
category251,2023-08-01,6351
category251,2023-09-01,4277
category252,2022-07-01,34165
category252,2022-08-01,23714
category252,2022-09-01,15553
category252,2023-01-01,5425
category252,2023-02-01,4594
category252,2023-03-01,5927
category252,2023-04-01,7936
category252,2023-05-01,14041
category252,2023-06-01,22257
category252,2023-07-01,32558
category252,2023-08-01,28752
category252,2023-09-01,26341
category253,2022-07-01,87303
category253,2022-08-01,83440
category253,2022-09-01,83729
category253,2023-01-01,86133
category253,2023-02-01,83921
category253,2023-03-01,103189
category253,2023-04-01,100620
category253,2023-05-01,104911
category253,2023-06-01,123649
category253,2023-07-01,107151
category253,2023-08-01,110149
category253,2023-09-01,115214
category254,2022-07-01,1765556
category254,2022-08-01,1592938
category254,2022-09-01,1595692
category254,2023-01-01,1975639
category254,2023-02-01,1565495
category254,2023-03-01,1404770
category254,2023-04-01,1305514
category254,2023-05-01,1882343
category254,2023-06-01,2675098
category254,2023-07-01,2021584
category254,2023-08-01,1964176
category254,2023-09-01,2034611
category255,2022-07-01,903
category255,2022-08-01,511
category255,2022-09-01,315
category255,2023-01-01,4554
category255,2023-02-01,2321
category255,2023-03-01,9441
category255,2023-04-01,11369
category255,2023-05-01,37469
category255,2023-06-01,36665
category255,2023-07-01,903
category255,2023-08-01,511
category255,2023-09-01,315
category256,2022-07-01,35505
category256,2022-08-01,32170
category256,2022-09-01,27765
category256,2023-01-01,24814
category256,2023-02-01,23712
category256,2023-03-01,23127
category256,2023-04-01,30802
category256,2023-05-01,40288
category256,2023-06-01,39102
category256,2023-07-01,39250
category256,2023-08-01,38935
category256,2023-09-01,38013
category257,2022-07-01,15321
category257,2022-08-01,17403
category257,2022-09-01,15497
category257,2023-01-01,15829
category257,2023-02-01,13487
category257,2023-03-01,17923
category257,2023-04-01,19020
category257,2023-05-01,20626
category257,2023-06-01,20884
category257,2023-07-01,19260
category257,2023-08-01,20361
category257,2023-09-01,19832
category258,2022-07-01,31752
category258,2022-08-01,31144
category258,2022-09-01,28724
category258,2023-01-01,26948
category258,2023-02-01,19328
category258,2023-03-01,26997
category258,2023-04-01,29723
category258,2023-05-01,35378
category258,2023-06-01,39874
category258,2023-07-01,38081
category258,2023-08-01,39526
category258,2023-09-01,39780
category259,2022-07-01,450816
category259,2022-08-01,405451
category259,2022-09-01,350105
category259,2023-01-01,340409
category259,2023-02-01,304729
category259,2023-03-01,340978
category259,2023-04-01,382082
category259,2023-05-01,382565
category259,2023-06-01,420015
category259,2023-07-01,440314
category259,2023-08-01,439718
category259,2023-09-01,433898
category26,2022-07-01,32880
category26,2022-08-01,29835
category26,2022-09-01,31052
category26,2023-01-01,52143
category26,2023-02-01,43430
category26,2023-03-01,45563
category26,2023-04-01,47253
category26,2023-05-01,53832
category26,2023-06-01,64346
category26,2023-07-01,36366
category26,2023-08-01,34186
category26,2023-09-01,35747
category260,2022-07-01,89
category260,2022-08-01,55
category260,2022-09-01,65
category260,2023-01-01,48
category260,2023-02-01,42
category260,2023-03-01,37
category260,2023-04-01,37
category260,2023-05-01,35
category260,2023-06-01,37
category260,2023-07-01,59
category260,2023-08-01,43
category260,2023-09-01,47
category261,2022-07-01,15440
category261,2022-08-01,17901
category261,2022-09-01,17552
category261,2023-01-01,16274
category261,2023-02-01,15153
category261,2023-03-01,17832
category261,2023-04-01,16440
category261,2023-05-01,17483
